t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1
5843.28935755363,370.0000000000001,-5.2955683004900794e+19,-1.1648103903938278e-55,1.1787116115105488e+17,3.469157058499485e+18,3.3512858973484314e+18
6248.55441978326,370.0000000000001,-5.295569321727593e+19,3.4760708717337385e-55,1.22007717913297e+17,3.5876396352024023e+18,3.4656319172891054e+18
6694.345988235852,370.0000000000001,-5.295570330752045e+19,-2.0914268927304173e-54,1.263551482608095e+17,3.713472323642449e+18,3.587117175381639e+18
7184.716713533703,370.0000000000001,-5.295571316941066e+19,-3.7702730007710693e-54,1.3091314068308453e+17,3.8470522986707236e+18,3.7161391579876403e+18
7724.1245113613395,370.0000000000001,-5.295572281824295e+19,1.1139443389155232e-53,1.3571039321141149e+17,3.9887856158233196e+18,3.85307522261191e+18
8317.47308897174,370.0000000000001,-5.295573228768e+19,1.8025800508087098e-53,1.4078089369857206e+17,4.1390735876913085e+18,3.998292693992736e+18
8970.15652434318,370.0000000000001,-5.295574158995201e+19,-5.27071638627737e-54,1.461491813819164e+17,4.2983189179030333e+18,4.152169736521115e+18
9688.108303251764,370.0000000000001,-5.295575071982656e+19,2.4802138095257784e-52,1.5183309166423434e+17,4.4669339714540124e+18,4.315100879789779e+18
10477.855260051207,370.0000000000001,-5.295575966540442e+19,1.792091880796903e-51,1.5784834331190595e+17,4.645345787472301e+18,4.487497444160394e+18
11346.576912530594,370.0000000000001,-5.295576841384358e+19,-2.8401482581968765e-51,1.6421042056178246e+17,4.83399882657188e+18,4.669788406010099e+18
12302.17073025792,370.0000000000001,-5.295577695339117e+19,-3.1086167762302714e-51,1.7093513904927728e+17,5.033356830708341e+18,4.862421691659061e+18
13170.892382737307,370.0000000000001,-5.295578413258928e+19,-9.990802125592455e-51,1.7705905701010576e+17,5.208354655058441e+18,5.031295598048336e+18
