t(s),Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 20,Total solute volume 6,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total retention volume 20,Total retention volume 6,Flux surface 30: solute,Flux surface 29: solute,Flux surface 28: solute,Flux surface 31: solute,Flux surface 32: solute,Flux surface 33: solute,Flux surface 34: solute,Flux surface 35: solute,Flux surface 36: solute,Flux surface 37: solute,Flux surface 38: solute,Flux surface 24: solute,Flux surface 25: solute,Flux surface 26: solute,Flux surface 27: solute,Flux surface 21: solute
23.23919403474465,6585744088857999.0,2148406516499249.8,559811213042937.3,94675732034328.19,101213467716871.8,105830609787915.75,64829161457795.7,55650391860110.12,67127861957092.664,56049883430342.88,35144144256960.93,34133256947359.336,33957585142027.848,34469755223399.945,2.526905210752564e+18,7.032867898756913e+16,2567053060521324.5,630317263491633.9,165601068070099.25,167047997259405.28,168335425983861.8,118212707144464.72,100190950364733.89,118731629926969.83,100297730560568.22,67168888243216.53,67203601262188.86,67090442350156.68,67137575862419.375,2.526905210752566e+18,-2449679.149333089,-1954850.9009074795,-1106269.4389197929,-163721.28312326726,-277920.7892321346,-600823.8887305934,-381454.8733943929,211844.59118042068,492749.33513640496,531046.5976437108,441508.8772098073,423313430.09271896,353118129.6142452,132159245.19661134,167140674.24058557,173953995831796.34
24.471585975092097,6614058288445244.0,2301788006463233.0,601925289693611.4,101734154289616.69,108766793435052.14,113733806548840.16,69656931126527.42,59790547192633.336,72130357437291.66,60220511790323.78,37754366013988.78,36667170248574.88,36477556274376.54,37028697879710.33,2.66075649992516e+18,7.061696553161232e+16,2750182690536051.0,677731302854680.0,178037242807612.7,179614887362642.72,181013294377750.84,127075176454796.0,107696511723290.55,127643308150040.73,107813425124787.88,72188103413433.8,72220531927973.98,72097097822404.89,72150416953178.97,2.66075649992516e+18,-2591463.426561043,-2566319.170461452,-2059609.5612466047,-905471.4634206798,-1071580.8466348455,-1354448.5239175193,-1188822.509233826,-317377.6362329852,58426.64631142547,113382.88649874953,-10890.299586434077,464473802.60386306,382703839.2127322,144578796.79782668,185148153.5481301,173637636663439.22
25.71630183484302,6642580371453447.0,2459934933191324.5,645355522969115.2,109013397926326.36,116556277127450.27,121884026444001.42,74635741582655.27,64060094565652.34,77289321907226.5,64521480996870.445,40446172758560.836,39280298243034.82,39076260847433.43,39667590867818.766,2.7959327792693463e+18,7.090740602934801e+16,2938999843951816.5,726628030737914.8,190871065750337.7,192584330381020.88,194097689530299.62,136220548150367.53,115441556817031.48,136839784946843.08,115568988380601.98,77367055904749.56,77396925531144.89,77262795556723.89,77322580936303.86,2.7959327792693463e+18,-1957344.4834567031,-2669417.544437105,-2842396.909878928,-1699787.4167307871,-1893642.5544788528,-2045392.8824313967,-2003964.995695518,-965870.5462037339,-536538.371692359,-469609.9082668647,-614847.8513464562,494363053.3345245,403045575.4293348,153645873.5590865,198721236.01234722,173319683424986.88
26.97346485319145,6671311352538952.0,2622884381589174.0,690100896784706.2,116514338834874.36,124582827343447.31,130282199264413.77,79766207174475.34,68459563434651.31,82605374731642.83,68953320216772.0,43219916709281.49,41972984476909.18,41754040966224.7,42386777897964.266,2.9324471962455706e+18,7.1200011553658584e+16,3133548962891812.5,777006489555159.9,204104471743863.56,205958281732191.97,207590576959677.28,145650205668140.44,123427268234890.48,146322439800054.6,123565600088003.27,82706550940245.56,82733579557283.23,82588331950775.92,82654862320727.58,2.9324471962455706e+18,-344330.8569898441,-2010688.9696922489,-3192884.0335519444,-2378675.4199492997,-2572393.7967784437,-2481297.846916493,-2649248.6336340737,-1645746.2701221493,-1227128.342146427,-1156461.709092377,-1299753.5589176465,513267260.76474196,414475572.528667,159452649.5248127,207930812.8190725,173000139938703.34
28.243199501723367,6700252245063389.0,2790676461660885.0,736160830557046.8,124238032814584.73,132847546928414.33,138929459117152.88,85049064189192.11,72989587623923.47,88079262088697.95,73516663769110.45,46076015242780.13,44745635261720.805,44511301065127.38,45186666094682.01,3.0703130227285704e+18,7.1494793171583144e+16,3333878078975628.5,828866216626969.2,217739714684105.38,219739022444753.84,221494252543217.66,155365757670723.72,131655018996566.9,156092879546874.3,131804630752909.72,88207519798469.6,88231416451832.17,88074627924467.98,88148180532943.55,3.0703130227285704e+18,2309291.852126375,-412019.68429508456,-2852951.302363275,-2747977.1996580074,-2916059.702007505,-2460737.8009215835,-2929460.7475597425,-2243019.1366935577,-1918549.2154315473,-1855615.6454882247,-1966054.4149224067,521636311.8947708,417447546.54133546,162134406.5605898,212916619.6428715,172679010221472.88
29.5256314967406,6729404061040834.0,2963354164011488.0,783535128254987.1,132185702080570.69,141351718289121.66,147827128825040.6,90485161804454.25,77650897584252.9,93711847497666.14,78212243311078.06,49014946134350.445,47598715106957.43,47348503358561.41,48067721355111.68,3.20954365645151e+18,7.179176194374991e+16,3540038643799327.0,882207185314356.9,231779344511444.88,233929135520110.16,235811318424782.75,165369021929734.38,140126358945089.05,166152922042349.38,140287627980481.08,93871010902824.45,93891474796861.95,93722720100735.02,93803571054278.0,3.20954365645151e+18,5857420.626304035,2170773.2857340365,-1612802.0852311843,-2612148.1432301477,-2737323.5504831406,-1803725.5222012028,-2657313.8527829987,-2628228.0420185374,-2493880.277201296,-2452644.2746717096,-2493796.453932062,520047500.91999346,412506641.05412954,161859380.91853666,213872801.08546534,172356298485808.38
30.82088781170801,6758767811088755.0,3140963230916116.0,832223939647438.0,140358723655309.14,150096790717654.2,156976706506432.28,96075454303397.95,82444313729337.45,99504103669201.92,83040881112581.84,52037243464393.695,50532742791301.57,50266163926726.47,51030464355325.07,3.350152622147648e+18,7.209092892380226e+16,3752085377686870.0,937029760032917.4,246226187448028.78,248531485629921.94,250544662324293.12,175662011479029.1,148843003052224.72,176504582124629.97,149016304747182.7,99698182167589.19,99714901730654.64,99533753226412.16,99622177804760.39,3.350152622147648e+18,9883245.877867255,5589524.186213383,640619.6887303896,-1803320.759792825,-1881110.9102757508,-385500.0468015498,-1682062.7071983381,-2669914.0763749518,-2824821.126361182,-2820582.167442684,-2754233.8971966836,509174111.5861912,400263826.12974215,158820155.79335877,211035358.52410302,172032009140883.66
32.12909668982509,6788344504358920.0,3323552041294733.0,882227730968398.2,148758619338387.66,159084369438780.28,166379853980238.22,101820994347684.88,87370740676251.66,105457105462965.86,88003484243256.73,55143494082680.64,53548287968894.42,53264849333332.05,54075467099519.27,3.49215357254079e+18,7.239230515766483e+16,3970076134736985.5,993334662027058.2,261083328951315.9,263549201606672.34,265697439695919.9,186246922669074.4,157806821327369.1,187150059508026.1,157992529281129.47,105690294397001.95,105702946408750.28,105508973632191.95,105605246571551.39,3.49215357254079e+18,13643120.222306803,9448639.217781248,3874384.715395684,-212776.31072067705,-253881.32724097325,1828483.227425168,80557.38129443598,-2250056.085996342,-2784784.320073622,-2832647.1544801053,-2623700.404722684,489758451.52004594,381374232.9707501,153226398.00944746,204671304.772475,171706146793623.28
33.45038765672334,6818135148518410.0,3511171508126453.5,933547262831750.4,157387047006877.1,168316206110178.47,176038386709230.25,107722927142553.31,92431162248675.6,111572023778867.8,93101039529243.4,58334334543163.41,56645968226986.94,56345173692082.12,57203349927116.74,3.6355602893133204e+18,7.269590168334485e+16,4194071782422933.5,1051122943463468.5,276354098958277.5,278985661289103.38,281273058287202.12,197126124824606.47,167019830079630.38,198091728301737.1,167218316299586.56,111848705572858.3,111856954343845.47,111649723569282.77,111754119318676.25,3.6355602893133204e+18,16019433.019259507,13055872.13147485,7862061.396061496,2176956.1144013572,2147176.2950073285,4748233.15983786,2618693.176568297,-1280562.428978092,-2263530.33836461,-2376564.1022143713,-1998898.484197825,462588854.20280623,356518957.63916,145298763.20952284,195069358.4697076,171378716249467.3
34.784891533290576,6848140749683366.0,3703874987009785.5,986183573708644.6,166245793044755.06,177794190555194.0,185954265048328.84,113782485358846.77,97626637127741.4,117850120240503.14,98334609163445.08,61610448438273.84,59826446526826.63,59507796114124.57,60414778908571.805,3.780386684151434e+18,7.300172953012718e+16,4424136094220808.0,1110395967936245.8,292042059073583.0,294844478365581.0,297275164734974.06,208302151263190.47,176484184329126.38,209332127908261.88,176695819398838.44,118174865896630.56,118178362492038.52,117957436290525.75,118070229245074.7,3.780386684151434e+18,15483911.693515223,15380783.561094034,12140034.641372805,5260951.502456727,5206417.649343863,8127151.570952567,5796413.400988375,280024.27646141464,-1182555.7062920083,-1369713.0278364439,-812790.896142236,428480207.23456347,326389913.05472183,135263816.03171915,182532021.2113272,171049722513270.28
