t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
713.3552733523826,370.0000000000001,-5.2880635155276145e+19,2.093442341301367e-130,467737784059928.3,1.0489619220874541e+20,1.2882579649765572e+16,3.0222434849571336e+19,2.4699589362794414e+19,2.020887006676943e+19,2.189294258253982e+19,7.859005029636588e+18
754.5000511416335,370.0000000000001,-5.2881743945996345e+19,9.550602157094255e-130,475399582149595.2,1.079508475580192e+20,1.3443116989129798e+16,3.1142244235005407e+19,2.5405724678184227e+19,2.078654566772927e+19,2.251875781057604e+19,8.083656649952991e+18
799.7593067098096,370.0000000000001,-5.2886191385024864e+19,2.3985038250299216e-129,506583207073471.25,1.1110968066353073e+20,1.4100964004802088e+16,3.2084451680816607e+19,2.613886369776521e+19,2.1386328973253816e+19,2.316852305311093e+19,8.316905711372307e+18
840.9040844990606,370.0000000000001,-5.288942565786338e+19,2.773471273410988e-129,529631538641448.06,1.1384827368578145e+20,1.4327345951893376e+16,3.2850593357376795e+19,2.6791284296313815e+19,2.192017309920699e+19,2.3746854193589928e+19,8.524511761803404e+18
886.1633400672366,370.0000000000001,-5.288996832414754e+19,-3.623880977994485e-129,533737813663732.9,1.1683616533736654e+20,1.4481237467426124e+16,3.36706796360117e+19,2.750833383685552e+19,2.2506931769896473e+19,2.4382509427420426e+19,8.752695691901307e+18
935.9485211922303,370.0000000000001,-5.289030681033438e+19,-2.337632522148212e-128,536675023737127.8,1.2010599455772924e+20,1.4794031924815018e+16,3.460553494997463e+19,2.8280686494450725e+19,2.313887557365933e+19,2.5067115216506294e+19,8.998451616189678e+18
990.7122204297233,370.0000000000001,-5.289166772236114e+19,-1.812145753564476e-128,548924571146038.4,1.2362827812343402e+20,1.5506100970625014e+16,3.5679983128331313e+19,2.9090347300403843e+19,2.38012150111829e+19,2.5784649597376283e+19,9.256028060597928e+18
1040.497401554717,370.0000000000001,-5.289551027961451e+19,8.696186954501059e-128,583906229323948.0,1.2663905168418254e+20,1.605971228560597e+16,3.6563101390223856e+19,2.9794061172200452e+19,2.437695323755584e+19,2.640836600682691e+19,9.47992625886058e+18
1085.756657122893,370.0000000000001,-5.289722108725232e+19,3.121439059649628e-127,599764713026624.2,1.2929868867711533e+20,1.6233231852798184e+16,3.729611361084727e+19,3.0431324459810144e+19,2.489841610895496e+19,2.697328412332843e+19,9.68271737760866e+18
1135.5418382478867,370.0000000000001,-5.289751002932762e+19,5.125209086431318e-127,602644580935302.2,1.322099043352575e+20,1.639010335632154e+16,3.8094045835167015e+19,3.113033511056228e+19,2.5470416881776222e+19,2.7592951634574377e+19,9.905162125240402e+18
1190.3055374853798,370.0000000000001,-5.2897815050821116e+19,-4.061119224456501e-127,606026170806864.2,1.3539553745377096e+20,1.6734111384913542e+16,3.901726791965479e+19,3.187869150938003e+19,2.6082702958912987e+19,2.8256261550983164e+19,1.0143273377284248e+19
1250.5456066466222,370.0000000000001,-5.289918918386835e+19,-3.92659648384166e-126,621622399434889.5,1.3881695601461346e+20,1.7486161622533806e+16,4.0071158415634e+19,3.2661784552424763e+19,2.6723287521473327e+19,2.895022814908104e+19,1.039238959197836e+19
